group,variable,value
proto,proto,1
proto,state,-0.090787798
proto,dur,-0.301475751
proto,sbytes,-0.012836229
proto,dbytes,-0.039657839
proto,sttl,0.001065187
proto,dttl,-0.058767029
proto,sloss,-0.033306995
proto,dloss,-0.051149707
proto,service,0.061666295
proto,Sload,0.09975785
proto,Dload,-0.085207675
proto,Spkts,-0.071452074
proto,Dpkts,-0.060795439
proto,swin,-0.198943727
proto,dwin,-0.198040118
proto,stcpb,-0.154334349
proto,dtcpb,-0.154306447
proto,smeansz,-0.023134495
proto,dmeansz,-0.114806132
proto,trans_depth,-0.041208315
proto,res_bdy_len,-0.016523561
proto,Sjit,-0.02250282
proto,Djit,-0.098229804
proto,Stime,0.018551695
proto,Ltime,0.018236657
proto,Sintpkt,-0.497699634
proto,Dintpkt,-0.368572635
proto,tcprtt,-0.0266971
proto,synack,-0.024327922
proto,ackdat,-0.02453115
proto,is_sm_ips_ports,-0.35230536
proto,ct_state_ttl,-0.066914357
proto,ct_flw_http_mthd,-0.05057393
proto,is_ftp_login,-0.024531969
proto,ct_ftp_cmd,-0.024531969
proto,ct_srv_src,0.24350871
proto,ct_srv_dst,0.244772675
proto,ct_dst_ltm,0.231719369
proto,ct_src_ ltm,0.228900691
proto,ct_src_dport_ltm,0.225508327
proto,ct_dst_sport_ltm,0.234958501
proto,ct_dst_src_ltm,0.239845373
state,proto,-0.090787798
state,state,1
state,dur,0.09047249
state,sbytes,-0.003727268
state,dbytes,0.019437958
state,sttl,0.435291734
state,dttl,-0.165783455
state,sloss,0.009716619
state,dloss,0.026300926
state,service,0.063863554
state,Sload,0.360299999
state,Dload,0.000570124
state,Spkts,0.031097046
state,Dpkts,0.023026521
state,swin,0.115260338
state,dwin,0.101980384
state,stcpb,0.079500255
state,dtcpb,0.07921753
state,smeansz,0.044962025
state,dmeansz,-0.019048619
state,trans_depth,0.02293244
state,res_bdy_len,0.00736796
state,Sjit,0.007598631
state,Djit,0.020038156
state,Stime,0.019448996
state,Ltime,0.019542861
state,Sintpkt,0.009653811
state,Dintpkt,-0.067289299
state,tcprtt,-0.037508072
state,synack,-0.034998222
state,ackdat,-0.033545514
state,is_sm_ips_ports,0.026439782
state,ct_state_ttl,0.403705492
state,ct_flw_http_mthd,0.026938048
state,is_ftp_login,0.012988488
state,ct_ftp_cmd,0.012988488
state,ct_srv_src,0.507447052
state,ct_srv_dst,0.503406753
state,ct_dst_ltm,0.444511467
state,ct_src_ ltm,0.438619311
state,ct_src_dport_ltm,0.47111566
state,ct_dst_sport_ltm,0.501259025
state,ct_dst_src_ltm,0.514690982
dur,proto,-0.301475751
dur,state,0.09047249
dur,dur,1
dur,sbytes,0.144617468
dur,dbytes,0.24458345
dur,sttl,0.015141458
dur,dttl,0.059052608
dur,sloss,0.155196343
dur,dloss,0.245922154
dur,service,0.004439798
dur,Sload,-0.068683848
dur,Dload,-0.063581504
dur,Spkts,0.280335097
dur,Dpkts,0.253823518
dur,swin,0.040993086
dur,dwin,0.034152069
dur,stcpb,0.025787625
dur,dtcpb,0.025963996
dur,smeansz,0.020351226
dur,dmeansz,0.089291997
dur,trans_depth,0.054974881
dur,res_bdy_len,0.164655735
dur,Sjit,0.125808429
dur,Djit,0.188324801
dur,Stime,0.021134896
dur,Ltime,0.022177646
dur,Sintpkt,0.274902563
dur,Dintpkt,0.358853193
dur,tcprtt,0.051188171
dur,synack,0.046732721
dur,ackdat,0.046937385
dur,is_sm_ips_ports,0.011517491
dur,ct_state_ttl,0.097623223
dur,ct_flw_http_mthd,0.065729494
dur,is_ftp_login,0.031492608
dur,ct_ftp_cmd,0.031492608
dur,ct_srv_src,-0.100208723
dur,ct_srv_dst,-0.097775535
dur,ct_dst_ltm,-0.084860428
dur,ct_src_ ltm,-0.089496723
dur,ct_src_dport_ltm,-0.085390551
dur,ct_dst_sport_ltm,-0.084434577
dur,ct_dst_src_ltm,-0.087166368
sbytes,proto,-0.012836229
sbytes,state,-0.003727268
sbytes,dur,0.144617468
sbytes,sbytes,1
sbytes,dbytes,0.035740745
sbytes,sttl,-0.008050294
sbytes,dttl,0.06902077
sbytes,sloss,0.972981898
sbytes,dloss,0.038334116
sbytes,service,0.082719619
sbytes,Sload,-0.022835027
sbytes,Dload,-0.000819009
sbytes,Spkts,0.702822373
sbytes,Dpkts,0.113230131
sbytes,swin,0.054456107
sbytes,dwin,0.054712239
sbytes,stcpb,0.04315725
sbytes,dtcpb,0.041582791
sbytes,smeansz,0.185560964
sbytes,dmeansz,0.015494108
sbytes,trans_depth,0.004808609
sbytes,res_bdy_len,0.01693055
sbytes,Sjit,0.001504944
sbytes,Djit,0.001687248
sbytes,Stime,8.28E-05
sbytes,Ltime,0.000233755
sbytes,Sintpkt,-0.002743407
sbytes,Dintpkt,-0.000893524
sbytes,tcprtt,0.021463415
sbytes,synack,0.019252122
sbytes,ackdat,0.020066383
sbytes,is_sm_ips_ports,-0.001809193
sbytes,ct_state_ttl,-0.00488701
sbytes,ct_flw_http_mthd,0.002125392
sbytes,is_ftp_login,-0.00173102
sbytes,ct_ftp_cmd,-0.00173102
sbytes,ct_srv_src,-0.037716308
sbytes,ct_srv_dst,-0.037736967
sbytes,ct_dst_ltm,-0.031998046
sbytes,ct_src_ ltm,-0.031933247
sbytes,ct_src_dport_ltm,-0.031986265
sbytes,ct_dst_sport_ltm,-0.033200289
sbytes,ct_dst_src_ltm,-0.03521743
dbytes,proto,-0.039657839
dbytes,state,0.019437958
dbytes,dur,0.24458345
dbytes,sbytes,0.035740745
dbytes,dbytes,1
dbytes,sttl,-0.111149153
dbytes,dttl,0.020861184
dbytes,sloss,0.087926675
dbytes,dloss,0.991260432
dbytes,service,-0.006324384
dbytes,Sload,-0.085062461
dbytes,Dload,0.12402992
dbytes,Spkts,0.64120822
dbytes,Dpkts,0.969459075
dbytes,swin,0.199433873
dbytes,dwin,0.200349
dbytes,stcpb,0.154294538
dbytes,dtcpb,0.156148408
dbytes,smeansz,-0.082133389
dbytes,dmeansz,0.576379798
dbytes,trans_depth,0.124681654
dbytes,res_bdy_len,0.63863557
dbytes,Sjit,0.01790222
dbytes,Djit,0.156373817
dbytes,Stime,-0.005107294
dbytes,Ltime,-0.00485198
dbytes,Sintpkt,-0.009919317
dbytes,Dintpkt,-0.007916396
dbytes,tcprtt,-0.014078885
dbytes,synack,-0.012752241
dbytes,ackdat,-0.013023409
dbytes,is_sm_ips_ports,-0.006138307
dbytes,ct_state_ttl,-0.08921526
dbytes,ct_flw_http_mthd,0.151320573
dbytes,is_ftp_login,-0.020448006
dbytes,ct_ftp_cmd,-0.020448006
dbytes,ct_srv_src,-0.102824361
dbytes,ct_srv_dst,-0.103579222
dbytes,ct_dst_ltm,-0.104333932
dbytes,ct_src_ ltm,-0.107630285
dbytes,ct_src_dport_ltm,-0.106929198
dbytes,ct_dst_sport_ltm,-0.117734976
dbytes,ct_dst_src_ltm,-0.113610214
sttl,proto,0.001065187
sttl,state,0.435291734
sttl,dur,0.015141458
sttl,sbytes,-0.008050294
sttl,dbytes,-0.111149153
sttl,sttl,1
sttl,dttl,0.067820418
sttl,sloss,-0.064874617
sttl,dloss,-0.140826981
sttl,service,-0.07096475
sttl,Sload,0.200827217
sttl,Dload,-0.289795779
sttl,Spkts,-0.161067037
sttl,Dpkts,-0.169334576
sttl,swin,-0.38947577
sttl,dwin,-0.39822598
sttl,stcpb,-0.310670302
sttl,dtcpb,-0.310927208
sttl,smeansz,-0.083904486
sttl,dmeansz,-0.378462808
sttl,trans_depth,-0.067068462
sttl,res_bdy_len,-0.045433119
sttl,Sjit,0.03882296
sttl,Djit,-0.125029238
sttl,Stime,0.022313354
sttl,Ltime,0.022328575
sttl,Sintpkt,-0.033149236
sttl,Dintpkt,-0.019381244
sttl,tcprtt,0.143138705
sttl,synack,0.1251384
sttl,ackdat,0.137475702
sttl,is_sm_ips_ports,-0.028880811
sttl,ct_state_ttl,0.90221778
sttl,ct_flw_http_mthd,-0.085722348
sttl,is_ftp_login,-0.061635528
sttl,ct_ftp_cmd,-0.061635528
sttl,ct_srv_src,0.376377923
sttl,ct_srv_dst,0.376673422
sttl,ct_dst_ltm,0.318593348
sttl,ct_src_ ltm,0.316460205
sttl,ct_src_dport_ltm,0.361418319
sttl,ct_dst_sport_ltm,0.391158746
sttl,ct_dst_src_ltm,0.407960246
dttl,proto,-0.058767029
dttl,state,-0.165783455
dttl,dur,0.059052608
dttl,sbytes,0.06902077
dttl,dbytes,0.020861184
dttl,sttl,0.067820418
dttl,dttl,1
dttl,sloss,0.086465071
dttl,dloss,0.030112215
dttl,service,0.057811529
dttl,Sload,-0.249644551
dttl,Dload,-0.002329177
dttl,Spkts,0.072257172
dttl,Dpkts,0.0413034
dttl,swin,0.396349428
dttl,dwin,0.398869521
dttl,stcpb,0.311021146
dttl,dtcpb,0.309337001
dttl,smeansz,0.123588367
dttl,dmeansz,0.093100798
dttl,trans_depth,0.165445386
dttl,res_bdy_len,0.016860897
dttl,Sjit,0.16721551
dttl,Djit,0.105171918
dttl,Stime,-0.004734509
dttl,Ltime,-0.004672886
dttl,Sintpkt,-0.013490053
dttl,Dintpkt,0.022329864
dttl,tcprtt,0.481862064
dttl,synack,0.43202489
dttl,ackdat,0.450714656
dttl,is_sm_ips_ports,-0.018116337
dttl,ct_state_ttl,0.013654896
dttl,ct_flw_http_mthd,0.21461058
dttl,is_ftp_login,0.046322274
dttl,ct_ftp_cmd,0.046322274
dttl,ct_srv_src,-0.359349885
dttl,ct_srv_dst,-0.36442956
dttl,ct_dst_ltm,-0.335064432
dttl,ct_src_ ltm,-0.331196571
dttl,ct_src_dport_ltm,-0.32659811
dttl,ct_dst_sport_ltm,-0.345843896
dttl,ct_dst_src_ltm,-0.351335975
sloss,proto,-0.033306995
sloss,state,0.009716619
sloss,dur,0.155196343
sloss,sbytes,0.972981898
sloss,dbytes,0.087926675
sloss,sttl,-0.064874617
sloss,dttl,0.086465071
